Original,Character,Dialogue,Wordcount
Edgar:Replacing your arm for a weapon must have been a tough decision to make.,Edgar, Replacing your arm for a weapon must have been a tough decision to make.,13
Barret:Not really. Just how things turned out.,Barret, Not really. Just how things turned out.,6
Barret:It's a reminder of what I couldn't protect and what I should.,Barret, It's a reminder of what I couldn't protect and what I should.,11
Edgar:Don't be so modest. I can sense your strength and determination in the way you treat it.,Edgar, Don't be so modest. I can sense your strength and determination in the way you treat it.,16
"Edgar:It has a few nicks and scratches, but it's well taken care of. It says a lot about you.",Edgar," It has a few nicks and scratches, but it's well taken care of. It says a lot about you.",18
"Snow:What he said. I don't know much about machinery, but I can tell there are people and things you want to protect.",Snow," What he said. I don't know much about machinery, but I can tell there are people and things you want to protect.",21
Snow:And that in itself is an important part of who you are. It demonstrates strength.,Snow, And that in itself is an important part of who you are. It demonstrates strength.,14
Barret:I haven't done anythin' yet to deserve this kind of praise.,Barret, I haven't done anythin' yet to deserve this kind of praise.,10
Snow:I can tell you have heart. I like you. Let's talk later. I'd like to hear your stories.,Snow, I can tell you have heart. I like you. Let's talk later. I'd like to hear your stories.,17
Eiko:Hehe! He'll have to run faster to catch us!,Eiko, Hehe! He'll have to run faster to catch us!,8
Relm:There's no way he'll catch up!,Relm, There's no way he'll catch up!,5
Krile:He's on his way. Let's go!,Krile, He's on his way. Let's go!,5
Barret:Wait up! Huff... Huff... Guess I'll take a break here.,Barret, Wait up! Huff... Huff... Guess I'll take a break here.,9
Barret:The kids here sure can run.,Barret, The kids here sure can run.,5
"Eiko:You're tired already? We just started playing tag, too!",Eiko," You're tired already? We just started playing tag, too!",8
"Relm:Are you alright, old man?",Relm," Are you alright, old man?",4
Krile:Should we take a break?,Krile, Should we take a break?,4
Barret:What!? There's no way I'll lose to a bunch of kids!,Barret, What!? There's no way I'll lose to a bunch of kids!,10
"Galuf:You are quite skilled with children, Barret.",Galuf," You are quite skilled with children, Barret.",6
Barret:You think so? This is just me.,Barret, You think so? This is just me.,6
Barret:Clashing with others as always.,Barret, Clashing with others as always.,4
Galuf:That's a part of being an adult.,Galuf, That's a part of being an adult.,6
"Relm:Come on, old man! Break's over!",Relm," Come on, old man! Break's over!",5
Eiko:Yeah! Don't keep us ladies waiting!,Eiko, Yeah! Don't keep us ladies waiting!,5
Galuf:Hoho. You certainly are popular.,Galuf, Hoho. You certainly are popular.,4
"Barret:Join us, Galuf. We'll show 'em what adults can do!",Barret," Join us, Galuf. We'll show 'em what adults can do!",9
"Krile:Are you going to play, too, grandpa? Barret couldn't even catch us...",Krile," Are you going to play, too, grandpa? Barret couldn't even catch us...",11
Galuf:What are you saying? There's still life in these bones of mine!,Galuf, What are you saying? There's still life in these bones of mine!,11
"Jecht:Why don't you join 'em, kid?",Jecht," Why don't you join 'em, kid?",5
Tidus:I'm not a kid anymore! Why don't you join? You act childish enough.,Tidus, I'm not a kid anymore! Why don't you join? You act childish enough.,12
Jecht:Fine. I will.,Jecht, Fine. I will.,2
Jecht:Hey! Let's play a new game. See that sulky boy over there who looks like he wants to play?,Jecht, Hey! Let's play a new game. See that sulky boy over there who looks like he wants to play?,18
Jecht:The first one to catch him wins!,Jecht, The first one to catch him wins!,6
Jecht:Ready? Start!,Jecht, Ready? Start!,1
Tidus:Wh-what's going on!?,Tidus, Wh-what's going on!?,2
"Eiko:Wait up, Tidus!",Eiko," Wait up, Tidus!",2
"Relm:If you keep moving, I'm gonna draw your portrait!",Relm," If you keep moving, I'm gonna draw your portrait!",8
"Krile:Run away, Tidus!",Krile," Run away, Tidus!",2
Barret:Hahaha! I think I'll catch 'im first!,Barret, Hahaha! I think I'll catch 'im first!,6
"Tidus:W-wait, Barret! Not you, too!",Tidus," W-wait, Barret! Not you, too!",4
"Tidus:Damn you, old man! I won't forget this!",Tidus," Damn you, old man! I won't forget this!",7
Barret:......,Barret, ......,1
King:What's the matter? Are you okay?,King, What's the matter? Are you okay?,5
Barret:Just doin' some maintenance so I'm ready when push comes to shove.,Barret, Just doin' some maintenance so I'm ready when push comes to shove.,11
"Barret:I need to listen to what my partner says, else my life'll be in danger.",Barret," I need to listen to what my partner says, else my life'll be in danger.",14
King:I understand. I make sure my revolvers are always in top shape.,King, I understand. I make sure my revolvers are always in top shape.,11
"Locke:But it looks to me like you just let loose in battle, Barret.",Locke," But it looks to me like you just let loose in battle, Barret.",12
Barret:There's no time to think about consequences in a fight!,Barret, There's no time to think about consequences in a fight!,9
Barret:You just have to go in with your guns blazing!,Barret, You just have to go in with your guns blazing!,9
Edge:Your personality comes through even in your fighting style. I can admire your passion.,Edge, Your personality comes through even in your fighting style. I can admire your passion.,13
"Cecil:But if your gun breaks at a critical moment, then...",Cecil," But if your gun breaks at a critical moment, then...",9
King:We have no choice but to run. A broken gun is useless.,King, We have no choice but to run. A broken gun is useless.,11
Locke:But you have us to rely on in that case.,Locke, But you have us to rely on in that case.,9
Barret:You've got nothin' to worry about!,Barret, You've got nothin' to worry about!,5
Barret:My partner's been with me through all my battles.,Barret, My partner's been with me through all my battles.,8
Barret:We'll make it through somehow!,Barret, We'll make it through somehow!,4
"King:""Partner,"" I see... It seems like a trustworthy ally indeed.",King," ""Partner,"" I see... It seems like a trustworthy ally indeed.",9
King:But I've never seen anything like your gun. Can you replace the attachment...?,King, But I've never seen anything like your gun. Can you replace the attachment...?,12
"Barret:Well, it's connected here like this... With an arm, I use this bolt and...",Barret," Well, it's connected here like this... With an arm, I use this bolt and...",13
Locke:What a rare pair they are!,Locke, What a rare pair they are!,5
Rem:We've come pretty far. Don't you think we should head back?,Rem, We've come pretty far. Don't you think we should head back?,10
Kain:You're right. Let's head back and...,Kain, You're right. Let's head back and...,5
Kain:Is that...Rosa!?,Kain, Is that...Rosa!?,1
Thancred:We must go.,Thancred, We must go.,2
Rosa:There are so many of them...but I mustn't give up.,Rosa, There are so many of them...but I mustn't give up.,9
"Kain:Are you alright, Rosa?",Kain," Are you alright, Rosa?",3
"Rosa:Kain! Yes. Yes, I'm all right.",Rosa," Kain! Yes. Yes, I'm all right.",5
Kain:Are you with me?,Kain, Are you with me?,3
Rosa:There. That should do it.,Rosa, There. That should do it.,4
Yuri:Thanks! It doesn't hurt at all anymore.,Yuri, Thanks! It doesn't hurt at all anymore.,6
"Chelinka:Yuri, why's your face all red?",Chelinka," Yuri, why's your face all red?",5
"Palom:Maybe it's because Rosa's a lot prettier than you, Chelinka!",Palom," Maybe it's because Rosa's a lot prettier than you, Chelinka!",9
Yuri:You're right! She's pretty and nice and...,Yuri, You're right! She's pretty and nice and...,6
Chelinka:Wait a second! I'm all those things too!,Chelinka, Wait a second! I'm all those things too!,7
"Palom:Are you, though...?",Palom," Are you, though...?",2
Rosa:I see you've made some new friends.,Rosa, I see you've made some new friends.,6
Kain:That's right. They're trusty comrades.,Kain, That's right. They're trusty comrades.,4
Thancred:How about you introduce us to the lady?,Thancred, How about you introduce us to the lady?,7
"Kain:She is a friend. Rosa, Cecil, and I grew up together.",Kain," She is a friend. Rosa, Cecil, and I grew up together.",10
Rem:That explains why you rushed off without hesitation.,Rem, That explains why you rushed off without hesitation.,7
"Thancred:Just ""friends""? What a shame.",Thancred," Just ""friends""? What a shame.",4
"Rem:Kain isn't like you, Thancred. It's natural to care about someone you've known for a long time.",Rem," Kain isn't like you, Thancred. It's natural to care about someone you've known for a long time.",16
Rosa:I apologize if I caused you worry. Thank you all so much. I wouldn't be standing here if not for all of you.,Rosa, I apologize if I caused you worry. Thank you all so much. I wouldn't be standing here if not for all of you.,22
Yuri:Then let's go and find Cecil! He'll be happy to see you're doing okay.,Yuri, Then let's go and find Cecil! He'll be happy to see you're doing okay.,13
Kain:He's nearby. I'll explain everything on the way.,Kain, He's nearby. I'll explain everything on the way.,7
Rosa:Thank you. But let me heal you first.,Rosa, Thank you. But let me heal you first.,7
Rem:You were hurt? I didn't notice at all!,Rem, You were hurt? I didn't notice at all!,7
Kain:It's nothing. I thought I hid it well.,Kain, It's nothing. I thought I hid it well.,7
"Rosa:You did, but you can't fool me.",Rosa," You did, but you can't fool me.",6
Cecil:Rosa!,Cecil, Rosa!,1
Cecil:I'm not certain whether I should be happy seeing you here.,Cecil, I'm not certain whether I should be happy seeing you here.,10
"Rosa:I'm fine, Cecil. Kain came to my rescue.",Rosa," I'm fine, Cecil. Kain came to my rescue.",7
"Cecil:What a relief! Thank you, friend.",Cecil," What a relief! Thank you, friend.",5
"Kain:I told her about this world we're in, and she was determined to come and see you.",Kain," I told her about this world we're in, and she was determined to come and see you.",16
Rosa:Knowing I can be of help erases any fear I may have.,Rosa, Knowing I can be of help erases any fear I may have.,11
"Cecil:Thank you, Rosa, for being strong.",Cecil," Thank you, Rosa, for being strong.",5
"Cecil:Everyone, this is Rosa. She's very dear to me.",Cecil," Everyone, this is Rosa. She's very dear to me.",8
Celes:I knew it!,Celes, I knew it!,2
Bartz:I'm glad you found each other.,Bartz, I'm glad you found each other.,5
Eiko:You must be a good person if you're Cecil's sweetie.,Eiko, You must be a good person if you're Cecil's sweetie.,9
"Kain:She's a bit stubborn, but possesses a strong will.",Kain," She's a bit stubborn, but possesses a strong will.",8
"Eiko:You must know her well, to be able to spot something like that.",Eiko," You must know her well, to be able to spot something like that.",12
Kain:I must go back to patrolling the area.,Kain, I must go back to patrolling the area.,7
Cecil:Already? But Rosa is here.,Cecil, Already? But Rosa is here.,4
Kain:What I'm doing helps her and everyone else.,Kain, What I'm doing helps her and everyone else.,7
Kain:You should rest and catch up.,Kain, You should rest and catch up.,5
Eiko:Wait! I'm going with you.,Eiko, Wait! I'm going with you.,4
Eiko:I know how you feel. Chin up!,Eiko, I know how you feel. Chin up!,6
Cecil:I was hoping we could all talk together.,Cecil, I was hoping we could all talk together.,7
"Bartz:He's letting you two have some time alone. After all, you must have a lot to talk about.",Bartz," He's letting you two have some time alone. After all, you must have a lot to talk about.",17
Bartz:I suppose it's time for us to patrol the area too.,Bartz, I suppose it's time for us to patrol the area too.,10
Rosa:Oh! You don't have to...,Rosa, Oh! You don't have to...,4
Celes:Reuniting with someone you've been hoping to see again is nothing short of a miracle. Don't take this for granted.,Celes, Reuniting with someone you've been hoping to see again is nothing short of a miracle. Don't take this for granted.,19
Cecil:Did Kain tell you how I lost my memory? I would be lost if not for him.,Cecil, Did Kain tell you how I lost my memory? I would be lost if not for him.,16
"Rosa:That's just like him. Though he saved me back there, I don't always want to be protected.",Rosa," That's just like him. Though he saved me back there, I don't always want to be protected.",16
"Rosa:I want to do what I can for the both of you, too.",Rosa," I want to do what I can for the both of you, too.",12
Cecil:I thought you might say something like that.,Cecil, I thought you might say something like that.,7
Cecil:Come with us. Your help will be greatly appreciated.,Cecil, Come with us. Your help will be greatly appreciated.,8
"Rosa:Thank you, Cecil. I'll always be by your side.",Rosa," Thank you, Cecil. I'll always be by your side.",8
"Rosa:It's your turn, Lilisette.",Rosa," It's your turn, Lilisette.",3
Lilisette:Wow! I feel much better!,Lilisette, Wow! I feel much better!,4
Aerith:That's amazing. This must've taken you a long time to learn.,Aerith, That's amazing. This must've taken you a long time to learn.,10
Rosa:It took a lot of hard work.,Rosa, It took a lot of hard work.,6
Terra:It wasn't so easy at first?,Terra, It wasn't so easy at first?,5
Aerith:Because you care for him.,Aerith, Because you care for him.,4
"Rosa:As a mage, I could keep an eye on him in battle too.",Rosa," As a mage, I could keep an eye on him in battle too.",12
"Vincent:Instead of keeping him away from strife, you joined him.",Vincent," Instead of keeping him away from strife, you joined him.",9
Vincent:You chose a path that allowed you to watch over him.,Vincent, You chose a path that allowed you to watch over him.,10
Lilisette:Didn't that worry the people around you?,Lilisette, Didn't that worry the people around you?,6
Aerith:It's only natural for a mother to worry about her children.,Aerith, It's only natural for a mother to worry about her children.,10
Terra:But they don't always know what's best for you because of their concerns.,Terra, But they don't always know what's best for you because of their concerns.,12
Terra:It's impossible to hold back the feeling of wanting to protect someone you care about.,Terra, It's impossible to hold back the feeling of wanting to protect someone you care about.,14
Snow:Exactly. It's that feeling that makes you stronger and helps you face whatever comes your way.,Snow, Exactly. It's that feeling that makes you stronger and helps you face whatever comes your way.,15
"Lilisette:I fight, too, in hopes of getting stronger to protect the things I care about.",Lilisette," I fight, too, in hopes of getting stronger to protect the things I care about.",14
"Rosa:As long as you hold on to that determination, you can do anything.",Rosa," As long as you hold on to that determination, you can do anything.",12
Rosa:It will pave the path to the future you hope for.,Rosa, It will pave the path to the future you hope for.,10
Vincent:Sometimes the path has obstacles you may need to overcome.,Vincent, Sometimes the path has obstacles you may need to overcome.,9
Rosa:Yes. There have been times I wasn't strong enough. I let everyone down.,Rosa, Yes. There have been times I wasn't strong enough. I let everyone down.,12
"Rosa:But I vowed to stay by Cecil's side. And to do so, I need to become stronger.",Rosa," But I vowed to stay by Cecil's side. And to do so, I need to become stronger.",16
Snow:Good luck! You're gonna have your hands full with that one. But I'm sure your conviction is a part of what keeps him going.,Snow, Good luck! You're gonna have your hands full with that one. But I'm sure your conviction is a part of what keeps him going.,23
Rosa:Thank you. I'll try my best.,Rosa, Thank you. I'll try my best.,5
Galuf:Though you don't know what might emerge from them? You sure are a tough one.,Galuf, Though you don't know what might emerge from them? You sure are a tough one.,14
"Rosa:He's right, Vaan. The desert is a dangerous place.",Rosa," He's right, Vaan. The desert is a dangerous place.",8
"Vaan:Don't worry about me. If the enemy is too strong, I can just run away. I don't get too far from the city anyway.",Vaan," Don't worry about me. If the enemy is too strong, I can just run away. I don't get too far from the city anyway.",23
Garnet:Were you okay!? What happened?,Garnet, Were you okay!? What happened?,4
Rosa:I learned some terrible news and chased after Cecil in concern. It was my fault for rushing out alone.,Rosa, I learned some terrible news and chased after Cecil in concern. It was my fault for rushing out alone.,18
Cloud:Were you surprised you were so under-prepared?,Cloud, Were you surprised you were so under-prepared?,6
"Tidus:If I were Cecil, I'd be happy you cared about me so much, but I'd worry about you, too, Rosa.",Tidus," If I were Cecil, I'd be happy you cared about me so much, but I'd worry about you, too, Rosa.",19
Rosa:I know... I've reflected on my rash actions that caused Cecil and the others to worry.,Rosa, I know... I've reflected on my rash actions that caused Cecil and the others to worry.,15
Garnet:I can understand how you feel. Being scared after getting separated from someone precious to you...,Garnet, I can understand how you feel. Being scared after getting separated from someone precious to you...,15
Rosa:But...I always regretted not going with him at that time.,Rosa, But...I always regretted not going with him at that time.,9
Vaan:It's better to regret something you did than something you didn't.,Vaan, It's better to regret something you did than something you didn't.,10
"Galuf:It's easy to say now that it's over, but I'm glad neither of you encountered dangerous foes or got swallowed by quicksand.",Galuf," It's easy to say now that it's over, but I'm glad neither of you encountered dangerous foes or got swallowed by quicksand.",21
Garnet:What!? A giant caterpillar!?,Garnet, What!? A giant caterpillar!?,3
Cloud:Are you sure it wasn't a snake?,Cloud, Are you sure it wasn't a snake?,6
Galuf:No! It was most definitely a caterpillar! I remember it brushing against my skin...,Galuf, No! It was most definitely a caterpillar! I remember it brushing against my skin...,13
Tidus:I had tosearchfor acactus! And those things can run fast!,Tidus, I had to search for a cactus! And those things can run fast!,9
Vaan:You guys were worried about me playing in the desert? Just listen to yourselves!,Vaan, You guys were worried about me playing in the desert? Just listen to yourselves!,13
"Rosa:Yes, you're right... I never thought it could be so fun.",Rosa," Yes, you're right... I never thought it could be so fun.",10
"Rosa:No matter how tough our surroundings, we can overcome it with a smile together.",Rosa," No matter how tough our surroundings, we can overcome it with a smile together.",13
Vaan:Exactly! Isn't it much better that way?,Vaan, Exactly! Isn't it much better that way?,6
Seifer:I'll go after the small fry! Their boss should be up ahead.,Seifer, I'll go after the small fry! Their boss should be up ahead.,11
"Rosa:Wait, Seifer! There might be a strong enemy up ahead. We ought to prepare.",Rosa," Wait, Seifer! There might be a strong enemy up ahead. We ought to prepare.",13
Seifer:Do you want them to get away? What if we never find them again?,Seifer, Do you want them to get away? What if we never find them again?,13
"Rosa:That is far better than one of us getting severely injured. It's important to rest, Seifer",Rosa," That is far better than one of us getting severely injured. It's important to rest, Seifer—",15
"Seifer:If you're afraid, you can wait here. I'm going to stop them!",Seifer," If you're afraid, you can wait here. I'm going to stop them!",11
Rosa:Are you trying to act tough? Did you think I wouldn't notice?,Rosa, Are you trying to act tough? Did you think I wouldn't notice?,11
Seifer:I don't need any healing!,Seifer, I don't need any healing!,4
"Sabin:Haha! You can't win this one, Seifer.",Sabin," Haha! You can't win this one, Seifer.",6
Auron:We'll heed Rosa's advice and take a break.,Auron, We'll heed Rosa's advice and take a break.,7
"Lion:I'm surprised you can be so persistent, Rosa.",Lion," I'm surprised you can be so persistent, Rosa.",7
"Rosa:I'm sorry, but...I couldn't just let him injure himself.",Rosa," I'm sorry, but...I couldn't just let him injure himself.",8
Auron:You are in charge of looking after your comrades. It would be problematic if you weren't so persistent.,Auron, You are in charge of looking after your comrades. It would be problematic if you weren't so persistent.,17
"Rosa:Thank you, Auron. I think I got this stubbornness from my mother.",Rosa," Thank you, Auron. I think I got this stubbornness from my mother.",11
Lightning:Oh really? I've also got stubborn family.,Lightning, Oh really? I've also got stubborn family.,6
Lion:I'm going to let Serah know you called her stubborn.,Lion, I'm going to let Serah know you called her stubborn.,9
Lightning:...I wish you wouldn't.,Lightning, ...I wish you wouldn't.,3
Lion:Haha. I'm kidding!,Lion, Haha. I'm kidding!,2
"Rosa:My mother became a white mage to protect my father. I chose the same path, so they worried and we fought a lot.",Rosa," My mother became a white mage to protect my father. I chose the same path, so they worried and we fought a lot.",22
Lightning:You stuck to your goal...,Lightning, You stuck to your goal...,4
"Rosa:If there's a chance you'll succeed, you don't want to give up, do you? I wanted to believe in myself and my mother. I wanted to be recognized someday.",Rosa," If there's a chance you'll succeed, you don't want to give up, do you? I wanted to believe in myself and my mother. I wanted to be recognized someday.",28
Auron:...Indeed. Chance is an impartial arbiter for all.,Auron, ...Indeed. Chance is an impartial arbiter for all.,7
"Lightning:I didn't want to give up and kept fighting. I kept chasing that chance, however small, and will keep doing so.",Lightning," I didn't want to give up and kept fighting. I kept chasing that chance, however small, and will keep doing so.",20
Rosa:I don't want to give up halfway and regret it.,Rosa, I don't want to give up halfway and regret it.,9
Seifer:Yeah? Well me neither.,Seifer, Yeah? Well me neither.,3
"Seifer:If we keep pressing forward, there's a chance we'll win. Or is that different?",Seifer," If we keep pressing forward, there's a chance we'll win. Or is that different?",13
"Sabin:You're not wrong. No matter the case, there's always a chance. Even I like to battle with momentum.",Sabin," You're not wrong. No matter the case, there's always a chance. Even I like to battle with momentum.",17
"Sabin:But you shouldn't neglect your own health. Next time, let us know when you're hurt.",Sabin," But you shouldn't neglect your own health. Next time, let us know when you're hurt.",14
Seifer:...Tch. Haven't we rested enough? Any longer and I'll fall asleep.,Seifer, ...Tch. Haven't we rested enough? Any longer and I'll fall asleep.,10
"Lion:What a brat... Can't you just say ""thank you"" like a normal person without being so embarrassed?",Lion," What a brat... Can't you just say ""thank you"" like a normal person without being so embarrassed?",16
Seifer:Who's embarrassed!? Grr... I'm going on ahead!,Seifer, Who's embarrassed!? Grr... I'm going on ahead!,6
Seifer:...'Preciate it.',Seifer, ...'Preciate it.',1
Rosa:It makes me happy to hear that. Now we're all prepared!,Rosa, It makes me happy to hear that. Now we're all prepared!,10
Rosa:Let's go! The chances are better when we're together!,Rosa, Let's go! The chances are better when we're together!,8
"Raijin:I don't get it. Golbez shoulda just come with us, ya know?",Raijin," I don't get it. Golbez shoulda just come with us, ya know?",11
Yuffie:Yeah! I thought he cared about Cecil...,Yuffie, Yeah! I thought he cared about Cecil...,6
"Jecht:Listen, you two...",Jecht," Listen, you two...",2
Jecht:Just 'cause you care about someone doesn't mean you always gotta be with 'em.,Jecht, Just 'cause you care about someone doesn't mean you always gotta be with 'em.,13
"Yuffie:I know... Well, at least it seems like his heart's in the right place.",Yuffie," I know... Well, at least it seems like his heart's in the right place.",13
"Raijin:Yeah! Galuf sure talked some sense into him, ya know?",Raijin," Yeah! Galuf sure talked some sense into him, ya know?",9
"Yuffie:Hmm... I guess there's not much else we can do, huh.",Yuffie," Hmm... I guess there's not much else we can do, huh.",10
"Raijin:Seems like it, ya know...",Raijin," Seems like it, ya know...",4
"Galuf:What are your thoughts, Cecil?",Galuf," What are your thoughts, Cecil?",4
Galuf:Do you also wish to fight alongside your brother?,Galuf, Do you also wish to fight alongside your brother?,8
"Cecil:Not ""fight,"" per se...",Cecil," Not ""fight,"" per se...",3
Cecil:I didn't have much chance to speak with him properly in our world after he had come to his senses.,Cecil, I didn't have much chance to speak with him properly in our world after he had come to his senses.,19
"Cecil:If we were to journey together in this world, I would like to talk to him.",Cecil," If we were to journey together in this world, I would like to talk to him.",15
"Jecht:Well, what're we doin' just standin' around here then?",Jecht," Well, what're we doin' just standin' around here then?",8
"Jecht:...So, I got an idea.",Jecht," ...So, I got an idea.",4
Jecht:Why don't we let Cecil here take the helm for a bit?,Jecht, Why don't we let Cecil here take the helm for a bit?,11
Cecil:You mean...pilot the airship?,Cecil, You mean...pilot the airship?,3
"Jecht:You can do it, can't ya? We don't have a heading yet, so just take it wherever you want.",Jecht," You can do it, can't ya? We don't have a heading yet, so just take it wherever you want.",18
Cecil:...Understood. I'll give it a try.,Cecil, ...Understood. I'll give it a try.,5
"Cait Sith:Well, well! Aren't you persuasive?",Cait Sith," Well, well! Aren't you persuasive?",4
Jecht:He needed to get his mind off his problems. I just gave him a suggestion.,Jecht, He needed to get his mind off his problems. I just gave him a suggestion.,14
Jecht:Besides...I got a feelin' that something's about to change.,Jecht, Besides...I got a feelin' that something's about to change.,8
"Jecht:After all, some people are just drawn to each other by fate...",Jecht," After all, some people are just drawn to each other by fate...",11
Galuf:A forest... Did you sense something here?,Galuf, A forest... Did you sense something here?,6
"Cecil:Yes, something important... But what that is, I do not know.",Cecil," Yes, something important... But what that is, I do not know.",10
Jecht:My kind of guy! Ain't nothin' wrong with followin' your gut. So let's get searchin' already,Jecht, My kind of guy! Ain't nothin' wrong with followin' your gut. So let's get searchin' already—,15
Cait Sith:A m-monster! And a right big one at that!,Cait Sith, A m-monster! And a right big one at that!,8
Cecil:Over there! Let's go!,Cecil, Over there! Let's go!,3
Jecht:Seriously!? Not this guy again!,Jecht, Seriously!? Not this guy again!,4
"Cait Sith:So surprised to see him, are ya?",Cait Sith," So surprised to see him, are ya?",6
"Cecil:I refuse! We will fight, too!",Cecil," I refuse! We will fight, too!",5
"Galuf:And we do so not to help you, but of our own free will.",Galuf," And we do so not to help you, but of our own free will.",13
Jecht:We'll be responsible for our own lives. I doubt you've got complaints with that.,Jecht, We'll be responsible for our own lives. I doubt you've got complaints with that.,13
Golbez:...Do as you like.,Golbez, ...Do as you like.,3
Cecil:Wait! Brother!,Cecil, Wait! Brother!,1
"Cecil:Why won't you talk to me? Please, tell me what you're thinking!",Cecil," Why won't you talk to me? Please, tell me what you're thinking!",11
"Golbez:...Through my mistakes, I brought misfortune upon this world.",Golbez," ...Through my mistakes, I brought misfortune upon this world.",8
Golbez:It is now my responsibility to fix it.,Golbez, It is now my responsibility to fix it.,7
Aerith:So you're trying to close the Torsions all on your own?,Aerith, So you're trying to close the Torsions all on your own?,10
"Galuf:Then our goals are one in the same. Isn't that right, Edge?",Galuf," Then our goals are one in the same. Isn't that right, Edge?",11
Edge:No doubt about it.,Edge, No doubt about it.,3
"Edge:But I was prepared for this. Like I said before, that's life for you.",Edge," But I was prepared for this. Like I said before, that's life for you.",13
"Galuf:Indeed. If Cecil wishes for us to travel together, then so be it.",Galuf," Indeed. If Cecil wishes for us to travel together, then so be it.",12
Cecil:There's no need for us to fight anymore.,Cecil, There's no need for us to fight anymore.,7
"Cecil:Even with Spiritus's patronage, it's too dangerous for you to do this alone.",Cecil," Even with Spiritus's patronage, it's too dangerous for you to do this alone.",12
"Cecil:So please, come with us",Cecil," So please, come with us—",4
Golbez:No. I must atone for this alone.,Golbez, No. I must atone for this alone.,6
Cecil:But why?,Cecil, But why?,1
Golbez:There is a chance that the darkness that once possessed me can cross the Torsions to this world.,Golbez, There is a chance that the darkness that once possessed me can cross the Torsions to this world.,17
Golbez:I may yet again be manipulated by that evil and consumed with wicked thoughts...,Golbez, I may yet again be manipulated by that evil and consumed with wicked thoughts...,13
"Golbez:So I must do this alone, lest I betray you all.",Golbez," So I must do this alone, lest I betray you all.",10
Cecil:No. If that happens...,Cecil, No. If that happens...,3
"Cecil:If that happens, then I'll help you regain your memories. Just like you did for me.",Cecil," If that happens, then I'll help you regain your memories. Just like you did for me.",15
Aerith:Yes! And we'll be there to help!,Aerith, Yes! And we'll be there to help!,6
Edge:I'll knock you back to your senses!,Edge, I'll knock you back to your senses!,6
Galuf:You can rely on us. And your brother.,Galuf, You can rely on us. And your brother.,7
"Golbez:For you, spirit moogle.",Golbez," For you, spirit moogle.",3
Mog:Kupo!? Th-these are dimensional coordinates!,Mog, Kupo!? Th-these are dimensional coordinates!,4
Cecil:That means...!,Cecil, That means...!,1
Golbez:Summon me if you must. I will aid you as long as I am still myself.,Golbez, Summon me if you must. I will aid you as long as I am still myself.,15
"Cecil:...Thank you, Brother.",Cecil," ...Thank you, Brother.",2
"Aerith:Is this really okay with you, Cecil? Wasn't there more you wanted to talk about?",Aerith," Is this really okay with you, Cecil? Wasn't there more you wanted to talk about?",14
"Cecil:...Yes, but there's still time for us to talk. Perhaps not now, but...",Cecil," ...Yes, but there's still time for us to talk. Perhaps not now, but...",12
"Cecil:For now, this is enough.",Cecil," For now, this is enough.",4
"Cecil:Thank you, Brother.",Cecil," Thank you, Brother.",2
Golbez:I do not need thanks... Farewell.,Golbez, I do not need thanks... Farewell.,5
Zidane:Seems like he hasn't warmed up to us one bit.,Zidane, Seems like he hasn't warmed up to us one bit.,9
"Firion:For siblings, you two are nothing alike...",Firion," For siblings, you two are nothing alike...",6
Sabin:I guess it's because they walked different paths in life.,Sabin, I guess it's because they walked different paths in life.,9
Firion:Were you two more alike as kids?,Firion, Were you two more alike as kids?,6
Cecil:I don't recall. I grew up thinking I didn't have any blood relatives.,Cecil, I don't recall. I grew up thinking I didn't have any blood relatives.,12
"Sabin:Oh yeah, you mentioned that.",Sabin," Oh yeah, you mentioned that.",4
"Kain:As a child, he knew few others besides the king and myself.",Kain," As a child, he knew few others besides the king and myself.",11
Cecil:It seems like all siblings and childhood friends here have such great bonds.,Cecil, It seems like all siblings and childhood friends here have such great bonds.,12
Cecil:Perhaps it's not possible to form such a connection with someone you haven't grown up with...,Cecil, Perhaps it's not possible to form such a connection with someone you haven't grown up with...,15
Zidane:That's not true! Upbringing's got nothing to do with it.,Zidane, That's not true! Upbringing's got nothing to do with it.,9
Zidane:I don't know anything about where I'm from. I didn't even know I had siblings...,Zidane, I don't know anything about where I'm from. I didn't even know I had siblings...,14
Firion:And sometimes you'll fight even with those you grew up with.,Firion, And sometimes you'll fight even with those you grew up with.,10
"Sabin:But a connection can still be strong, even if you aren't together. Like me and my brother!",Sabin," But a connection can still be strong, even if you aren't together. Like me and my brother!",16
Cecil:Thank you. Your words give me strength.,Cecil, Thank you. Your words give me strength.,6
Cecil:There may yet come a day where he and I work together.,Cecil, There may yet come a day where he and I work together.,11
Zidane:I have no doubt about it.,Zidane, I have no doubt about it.,5
Firion:Agreed. We all believe so.,Firion, Agreed. We all believe so.,4
"Kuja:Getting sentimental, are we?",Kuja," Getting sentimental, are we?",3
"Kuja:If you like him so much, you should just join him.",Kuja," If you like him so much, you should just join him.",10
Kuja:What's holding you back?,Kuja, What's holding you back?,3
Golbez:...A fine question coming from someone also assisting them.,Golbez, ...A fine question coming from someone also assisting them.,8
Golbez:Does that kindness not stem from a connection to one of them?,Golbez, Does that kindness not stem from a connection to one of them?,11
Kuja:...Just a whim. Please don't confuse my motives with your own.,Kuja, ...Just a whim. Please don't confuse my motives with your own.,10
Golbez:Hmph... Very well then.,Golbez, Hmph... Very well then.,3
